Local;HM;HM-0:4;HM-15:24;HM-25:64;HM-65+;H;H-0:14;H-15:24;H-25:64;H-65+;M;M-0:14;M-15:24;M-25:64;M-65+
0502:Castelo Branco;52272;5959;4850;26589;14874;24703;2997;2508;12701;6497;27569;2962;2342;13888;8377
0505:Idanha-a-Nova;8355;725;598;3455;3577;3998;387;314;1775;1522;4357;338;284;1680;2055
0506:Oleiros;4904;287;292;2087;2238;2333;156;138;1086;953;2571;131;154;1001;1285
0507:Penamacor;4768;321;288;2041;2118;2349;179;162;1089;919;2419;142;126;952;1199
0508:Proença-a-Nova;7167;591;546;3284;2746;3469;302;279;1707;1181;3698;289;267;1577;1565
0511:Vila Velha de Ródão;3285;290;195;1299;1501;1565;153;102;663;647;1720;137;93;636;854
16I:Médio Tejo;228581;26174;22478;113500;66429;108365;13430;11642;55348;27945;120216;12744;10836;58152;38484
1401:Abrantes;34329;3514;3207;16921;10687;16434;1794;1716;8418;4506;17895;1720;1491;8503;6181
1402:Alcanena;12472;1494;1224;6207;3547;5994;762;650;3057;1525;6478;732;574;3150;2022
1408:Constância;3798;470;387;1953;988;1823;240;199;956;428;1975;230;188;997;560
1410:Entroncamento;20141;2956;2175;10794;4216;9489;1493;1089;5123;1784;10652;1463;1086;5671;2432
1411:Ferreira do Zêzere;7800;853;714;3688;2545;3686;429;378;1811;1068;4114;424;336;1877;1477
1413:Mação;6402;491;467;2750;2694;3061;246;252;1418;1145;3341;245;215;1332;1549
1421:Ourém;44538;5379;4738;22475;11946;20898;2759;2372;10902;4865;23640;2620;2366;11573;7081
1417:Sardoal;3513;306;320;1749;1138;1692;154;178;882;478;1821;152;142;867;660
0509:Sertã;14769;1584;1414;7177;4594;7114;819;748;3540;2007;7655;765;666;3637;2587
1418:Tomar;36413;3791;3554;17929;11139;17079;1997;1839;8608;4635;19334;1794;1715;9321;6504
1419:Torres Novas;34111;4135;3334;16984;9658;16248;2151;1731;8244;4122;17863;1984;1603;8740;5536
0510:Vila de Rei;3279;296;278;1365;1340;1538;151;152;685;550;1741;145;126;680;790
1420:Vila Nova da Barquinha;7016;905;666;3508;1937;3309;435;338;1704;832;3707;470;328;1804;1105
16J:Beiras e Serra da Estrela;210602;20523;18592;102162;69325;100002;10426;9590;50224;29762;110600;10097;9002;51938;39563
0902:Almeida;5887;360;412;2517;2598;2748;183;208;1284;1073;3139;177;204;1233;1525
0501:Belmonte;6205;657;509;3042;1997;2962;341;252;1508;861;3243;316;257;1534;1136
0903:Celorico da Beira;6583;619;581;3072;2311;3118;308;305;1498;1007;3465;311;276;1574;1304
0503:Covilhã;46455;4826;4402;23387;13840;22081;2461;2266;11438;5916;24374;2365;2136;11949;7924
0904:Figueira de Castelo Rodrigo;5148;508;392;2292;1956;2454;250;207;1151;846;2694;258;185;1141;1110
0905:Fornos de Algodres;4403;400;365;2040;1598;2039;190;171;1015;663;2364;210;194;1025;935
0504:Fundão;26503;2679;2328;12882;8614;12741;1388;1243;6393;3717;13762;1291;1085;6489;4897
0906:Gouveia;12222;1118;977;5458;4669;5705;556;513;2639;1997;6517;562;464;2819;2672
0907:Guarda;40117;4486;4156;21341;10134;19118;2262;2124;10366;4366;20999;2224;2032;10975;5768
0908:Manteigas;2909;214;240;1355;1100;1355;101;112;668;474;1554;113;128;687;626
0909:Mêda;4630;393;358;2102;1777;2199;195;197;1039;768;2431;198;161;1063;1009
0910:Pinhel;8092;631;669;3668;3124;3879;335;348;1839;1357;4213;296;321;1829;1767
0911:Sabugal;11280;811;730;4666;5073;5327;402;368;2398;2159;5953;409;362;2268;2914
0912:Seia;21755;2077;1796;10382;7500;10296;1060;925;5029;3282;11459;1017;871;5353;4218
0913:Trancoso;8413;744;677;3958;3034;3980;394;351;1959;1276;4433;350;326;1999;1758
17:Área Metropolitana de Lisboa;2870208;411213;310578;1527795;620622;1350446;210923;157773;723624;258126;1519762;200290;152805;804171;362496
170:Área Metropolitana de Lisboa;2870208;411213;310578;1527795;620622;1350446;210923;157773;723624;258126;1519762;200290;152805;804171;362496
1502:Alcochete;19143;3132;2269;10335;3407;9204;1560;1159;4985;1500;9939;1572;1110;5350;1907
1503:Almada;177238;24219;18681;92153;42185;83208;12491;9587;43309;17821;94030;11728;9094;48844;24364
1115:Amadora;171454;24351;18058;90958;38087;79393;12386;9059;42356;15592;92061;11965;8999;48602;22495
1504:Barreiro;78345;10323;8203;39794;20025;36702;5279;4123;18865;8435;41643;5044;4080;20929;11590
1105:Cascais;214124;31037;23515;111111;48461;99766;16007;12107;51639;20013;114358;15030;11408;59472;28448
1106:Lisboa;545796;71220;55069;291739;127768;254179;36718;27794;140464;49203;291617;34502;27275;151275;78565
1107:Loures;201590;29623;21732;105929;44306;95120;15306;11063;49958;18793;106470;14317;10669;55971;25513
1109:Mafra;86515;14177;9794;47169;15375;41916;7228;4997;22927;6764;44599;6949;4797;24242;8611
1506:Moita;66255;9809;7370;34562;14514;31348;5066;3785;16299;6198;34907;4743;3585;18263;8316
1507:Montijo;55682;9013;5810;30414;10445;27053;4706;2992;14966;4389;28629;4307;2818;15448;6056
1116:Odivelas;148034;22336;15301;79485;30912;69724;11322;7775;37579;13048;78310;11014;7526;41906;17864
1110:Oeiras;171658;24317;17864;88229;41248;79581;12577;9167;40971;16866;92077;11740;8697;47258;24382
1508:Palmela;68852;9994;7731;36563;14564;33165;5061;3999;17833;6272;35687;4933;3732;18730;8292
1510:Seixal;166507;24494;18067;88109;35837;78624;12495;9192;41157;15780;87883;11999;8875;46952;20057
1511:Sesimbra;52384;7829;5760;28109;10686;25435;3995;2985;13551;4904;26949;3834;2775;14558;5782
1512:Setúbal;123496;17516;13504;63983;28493;58558;8997;6882;30360;12319;64938;8519;6622;33623;16174
1111:Sintra;385606;56903;46623;213195;68885;181792;28890;23461;100356;29085;203814;28013;23162;112839;39800
1114:Vila Franca de Xira;137529;20920;15227;75958;25424;65678;10839;7646;36049;11144;71851;10081;7581;39909;14280
18:Alentejo;704533;87139;68763;358168;190463;341403;44530;35851;179058;81964;363130;42609;32912;179110;108499
181:Alentejo Litoral;96442;11293;8657;51259;25233;49025;5722;4764;27177;11362;47417;5571;3893;24082;13871
1501:Alcácer do Sal;11112;1234;996;5425;3457;5372;620;543;2709;1500;5740;614;453;2716;1957
1505:Grândola;13822;1683;1282;7040;3817;7003;858;697;3708;1740;6819;825;585;3332;2077
0211:Odemira;29538;2955;2736;17158;6689;16367;1519;1653;10124;3071;13171;1436;1083;7034;3618
1509:Santiago do Cacém;27772;3414;2295;13986;8077;13461;1746;1194;6866;3655;14311;1668;1101;7120;4422
1513:Sines;14198;2007;1348;7650;3193;6822;979;677;3770;1396;7376;1028;671;3880;1797
184:Baixo Alentejo;114863;14543;11131;57495;31694;56344;7512;5783;29455;13594;58519;7031;5348;28040;18100
0201:Aljustrel;8874;1059;774;4500;2541;4378;524;391;2353;1110;4496;535;383;2147;1431
0202:Almodôvar;6712;731;576;3215;2190;3308;372;299;1655;982;3404;359;277;1560;1208
0203:Alvito;2280;293;234;1068;685;1089;151;118;525;295;1191;142;116;543;390
0204:Barrancos;1438;176;146;721;395;703;91;76;371;165;735;85;70;350;230
0205:Beja;33394;4721;3506;17305;7862;16296;2451;1846;8728;3271;17098;2270;1660;8577;4591
0206:Castro Verde;6873;833;665;3521;1854;3324;421;331;1773;799;3549;412;334;1748;1055
0207:Cuba;4373;577;420;2208;1168;2152;305;208;1141;498;2221;272;212;1067;670
0208:Ferreira do Alentejo;7684;905;682;3859;2238;3868;474;363;2074;957;3816;431;319;1785;1281
0209:Mértola;6206;546;438;2938;2284;3078;288;231;1563;996;3128;258;207;1375;1288
0210:Moura;13258;1965;1472;6343;3478;6432;1017;740;3224;1451;6826;948;732;3119;2027
0212:Ourique;4839;486;410;2278;1665;2368;234;215;1164;755;2471;252;195;1114;910
0213:Serpa;13757;1588;1297;6982;3890;6840;838;698;3595;1709;6917;750;599;3387;2181
0214:Vidigueira;5175;663;511;2557;1444;2508;346;267;1289;606;2667;317;244;1268;838
185:Lezíria do Tejo;235861;30445;24312;120349;60755;113005;15462;12629;59006;25908;122856;14983;11683;61343;34847
